"trial_num","is_practice","block","condition","iti","isi","high_group_on_left","left_group_value","right_group_value","left_item_value","right_item_value","delta_item_value","left_img","right_img","left_img_path","right_img_path"
0,0,1,"easy",1000,2000,0,20,80,20,60,-40,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
1,0,1,"easy",3500,1000,1,80,20,60,0,60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
2,0,1,"hard",3500,3000,1,60,40,60,40,20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
3,0,1,"hard",2000,1500,1,60,40,80,60,20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
4,0,1,"hard",1000,1000,0,40,60,40,40,0,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
5,0,1,"hard",1500,1500,1,60,40,80,20,60,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
6,0,1,"easy",1000,1500,0,20,80,40,60,-20,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
7,0,1,"easy",2000,3000,1,80,20,60,40,20,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
8,0,1,"hard",1500,1000,0,40,60,40,80,-40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
9,0,1,"easy",3000,1000,1,80,20,100,40,60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
10,0,1,"hard",1000,1000,0,40,60,60,40,20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
11,0,1,"easy",3000,3500,1,80,20,80,20,60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
12,0,1,"easy",1500,1000,1,80,20,80,40,40,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
13,0,1,"easy",1000,1000,0,20,80,0,100,-100,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
14,0,1,"hard",1000,1500,0,40,60,20,40,-20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
15,0,1,"hard",1500,2000,1,60,40,60,60,0,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
16,0,1,"easy",2000,2000,1,80,20,100,0,100,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
17,0,1,"easy",1000,1000,0,20,80,40,80,-40,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
18,0,1,"hard",1500,1000,1,60,40,40,40,0,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
19,0,1,"hard",2000,2000,0,40,60,60,40,20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
20,0,1,"hard",1000,2000,0,40,60,60,60,0,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
21,0,1,"hard",1000,1000,1,60,40,40,40,0,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
22,0,1,"hard",2000,1000,1,60,40,60,40,20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
23,0,1,"hard",3000,2000,1,60,40,80,60,20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
24,0,1,"easy",1500,1000,1,80,20,80,20,60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
25,0,1,"easy",1500,1500,1,80,20,100,20,80,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
26,0,1,"easy",1000,1500,1,80,20,100,0,100,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
27,0,1,"easy",1500,2000,1,80,20,80,40,40,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
28,0,1,"easy",2000,1500,0,20,80,0,80,-80,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
29,0,1,"easy",1000,1000,1,80,20,100,20,80,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
30,0,1,"easy",1000,1000,0,20,80,20,80,-60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
31,0,1,"hard",1000,3500,0,40,60,40,80,-40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
32,0,1,"hard",1000,1000,0,40,60,20,40,-20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
33,0,1,"easy",1000,2000,1,80,20,80,0,80,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
34,0,1,"easy",2000,3000,0,20,80,0,80,-80,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
35,0,1,"hard",1000,3000,1,60,40,80,60,20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
36,0,1,"hard",3000,1500,1,60,40,60,60,0,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
37,0,1,"easy",1500,1500,1,80,20,60,0,60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
38,0,1,"hard",1500,1000,0,40,60,40,80,-40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
39,0,1,"hard",2000,1500,0,40,60,40,60,-20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
40,0,2,"hard",1000,2000,0,40,60,20,40,-20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
41,0,2,"easy",2000,3500,1,80,20,60,40,20,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
42,0,2,"easy",3500,1000,0,20,80,20,80,-60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
43,0,2,"easy",2000,2000,0,20,80,0,60,-60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
44,0,2,"hard",1500,2000,1,60,40,60,20,40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
45,0,2,"easy",1000,1000,0,20,80,20,100,-80,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
46,0,2,"hard",1000,1500,1,60,40,80,20,60,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
47,0,2,"easy",1000,1500,1,80,20,60,20,40,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
48,0,2,"easy",1000,1000,1,80,20,60,20,40,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
49,0,2,"easy",1500,1000,0,20,80,40,60,-20,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
50,0,2,"easy",1000,1500,0,20,80,20,80,-60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
51,0,2,"hard",1500,1000,0,40,60,20,60,-40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
52,0,2,"easy",1500,1500,1,80,20,100,20,80,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
53,0,2,"hard",1000,1500,1,60,40,40,40,0,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
54,0,2,"easy",1000,2000,0,20,80,20,80,-60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
55,0,2,"easy",3000,2000,0,20,80,20,60,-40,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
56,0,2,"hard",2000,1000,0,40,60,40,60,-20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
57,0,2,"hard",3000,1000,0,40,60,40,80,-40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
58,0,2,"easy",1000,3000,1,80,20,100,20,80,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
59,0,2,"hard",1000,3500,0,40,60,20,60,-40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
60,0,2,"hard",1500,3000,0,40,60,40,40,0,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
61,0,2,"easy",1500,1500,0,20,80,40,60,-20,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
62,0,2,"easy",1000,3000,0,20,80,40,80,-40,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
63,0,2,"easy",2000,1500,1,80,20,80,0,80,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
64,0,2,"easy",1500,2000,0,20,80,20,100,-80,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
65,0,2,"hard",2000,1000,1,60,40,60,60,0,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
66,0,2,"hard",1500,1000,0,40,60,60,40,20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
67,0,2,"hard",3500,1500,1,60,40,80,20,60,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
68,0,2,"hard",2000,3000,1,60,40,60,20,40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
69,0,2,"hard",1000,1500,1,60,40,80,40,40,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
70,0,2,"hard",3000,2000,0,40,60,40,40,0,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
71,0,2,"hard",1000,1000,0,40,60,20,60,-40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
72,0,2,"hard",2000,1000,0,40,60,20,60,-40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
73,0,2,"hard",1000,2000,1,60,40,80,60,20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
74,0,2,"easy",2000,1000,0,20,80,40,80,-40,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
75,0,2,"hard",1500,1500,1,60,40,60,40,20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
76,0,2,"easy",3000,1000,0,20,80,0,80,-80,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
77,0,2,"easy",1500,1000,1,80,20,100,0,100,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
78,0,2,"hard",1000,1000,1,60,40,60,60,0,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
79,0,2,"easy",1000,1000,0,20,80,40,100,-60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
